Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
When Harry Met Sally...,1989,R,21-Jul-89,95 min,7.7/10,91%,76/100,76,7.7,227730,tt0098635,93117425,1094453,41,High,7,124.4,303.363,2668943.291,tt0098635
Up in the Air,2009,R,23-Dec-09,109 min,7.4/10,90%,83/100,83,7.4,340694,tt1193138,83823381,1181450,15,High,12,215.949,303.363,1659689.169,tt1193138
The Descendants,2011,R,9-Dec-11,115 min,7.3/10,87%,84/100,84,7.3,244858,tt1033575,82584160,1190096,29,High,12,225.672,303.363,1599804.552,tt1033575
Black Swan,2010,R,17-Dec-10,108 min,8.0/10,85%,79/100,79,8,785555,tt0947798,106954678,1443809,18,High,12,219.179,303.363,1998358.555,tt0947798
The Blair Witch Project,1999,R,30-Jul-99,81 min,6.5/10,86%,81/100,81,6.5,269785,tt0185937,140539099,1512054,27,High,7,166.7,303.363,2751657.094,tt0185937
Star Wars: Episode IV - A New Hope,1977,PG,25-May-77,121 min,8.6/10,93%,90/100,90,8.6,1388289,tt0076759,460998507,1554475,43,High,5,60.3,303.363,7820401.317,tt0076759
The Lion King,1994,G,24-Jun-94,88 min,8.5/10,93%,88/100,88,8.5,1079523,tt0110357,422783777,1586753,2,High,6,148,303.363,3252446.962,tt0110357
The Color Purple,1985,PG-13,7-Feb-86,154 min,7.7/10,77%,78/100,78,7.7,90009,tt0088939,98467863,1710333,192,High,2,106,303.363,4894827.829,tt0088939
Chicago,2002,PG-13,24-Jan-03,113 min,7.2/10,?,81/100,81,7.2,234744,tt0299658,170687518,2074929,77,High,1,177.1,303.363,3554244.417,tt0299658
Pocahontas,1995,G,23-Jun-95,81 min,6.7/10,54%,58/100,58,6.7,192801,tt0114148,141579773,2689714,6,Medium,6,152.5,303.363,5350555.463,tt0114148
Arthur,1981,PG,17-Jul-81,97 min,6.9/10,89%,69/100,69,6.9,29845,tt0082031,95461682,2719534,701,Medium,7,91.6,303.363,9006615.642,tt0082031
An Officer and a Gentleman,1982,R,13-Aug-82,124 min,7.0/10,79%,75/100,75,7,58826,tt0084434,129795554,3304679,346,Medium,8,97.7,303.363,10261180.51,tt0084434
Terms of Endearment,1983,PG,9-Dec-83,132 min,7.4/10,81%,79/100,79,7.4,62540,tt0086425,108423489,3498813,260,High,12,101.3,303.363,10477891.49,tt0086425
Alien,1979,R,22-Jun-79,117 min,8.5/10,98%,89/100,89,8.5,900596,tt0078748,81900459,3527881,91,High,6,72.3,303.363,14802608.07,tt0078748
Out of Africa,1985,PG,20-Dec-85,161 min,7.1/10,61%,69/100,69,7.1,82824,tt0089755,87071205,3637290,922,Medium,12,109.3,303.363,10095326.68,tt0089755
Heaven Can Wait,1978,PG,28-Jun-78,101 min,6.9/10,87%,72/100,72,6.9,22228,tt0077663,81640278,3652486,540,Medium,6,65.2,303.363,16994311.51,tt0077663
Saturday Night Fever,1977,R,16-Dec-77,118 min,6.8/10,83%,77/100,77,6.8,82955,tt0076666,94213184,3878099,504,High,12,62.1,303.363,18944794.64,tt0076666
9 to 5,1980,PG,19-Dec-80,109 min,6.9/10,68%,58/100,58,6.9,36206,tt0080319,103290500,3966832,910,Medium,12,86.3,303.363,13944264.84,tt0080319
Flashdance,1983,R,15-Apr-83,95 min,6.2/10,35%,39/100,39,6.2,56345,tt0085549,92921203,4076124,1140,Low,4,98.6,303.363,12541026.42,tt0085549
Star Wars: Episode V - The Empire Strikes Back,1980,PG,20-Jun-80,124 min,8.7/10,94%,82/100,82,8.7,1316200,tt0080684,292753960,4910483,126,High,6,82.7,303.363,18012803.56,tt0080684
The Karate Kid,1984,PG,22-Jun-84,126 min,7.3/10,89%,60/100,60,7.3,232284,tt0087538,91077276,5031753,931,Medium,6,103.7,303.363,14719842.67,tt0087538
Steel Magnolias,1989,PG,22-Nov-89,117 min,7.3/10,68%,56/100,56,7.3,58388,tt0098384,84614512,5425440,480,Medium,11,125.9,303.363,13072897.18,tt0098384
Tootsie,1982,PG,17-Dec-82,116 min,7.4/10,90%,88/100,88,7.4,110097,tt0084805,177200000,5540470,943,High,12,97.6,303.363,17221040.99,tt0084805
The Little Mermaid,1989,G,17-Nov-89,83 min,7.6/10,92%,88/100,88,7.6,271697,tt0097757,111543479,6031914,994,High,11,125.9,303.363,14534229.76,tt0097757
Stripes,1981,R,26-Jun-81,106 min,6.8/10,88%,68/100,68,6.8,76310,tt0083131,85297000,6130197,1074,Medium,6,90.6,303.363,20526213.6,tt0083131
Scream,1996,R,20-Dec-96,111 min,7.4/10,80%,65/100,65,7.4,361919,tt0117571,103046663,6354586,1413,Medium,12,158.6,303.363,12154768.43,tt0117571
Rocky II,1979,PG,15-Jun-79,119 min,7.3/10,70%,61/100,61,7.3,220002,tt0079817,85182160,6390537,780,Medium,6,72.3,303.363,26814003.82,tt0079817
Rain Man,1988,R,16-Dec-88,133 min,8.0/10,89%,65/100,65,8,525385,tt0095953,172825435,7005719,1248,Medium,12,120.5,303.363,17637144.67,tt0095953
Father of the Bride,1991,PG,20-Dec-91,105 min,6.5/10,70%,51/100,51,6.5,79750,tt0101862,89325780,7031146,1561,Medium,12,137.9,303.363,15467654.42,tt0101862
Jaws,1975,PG,20-Jun-75,124 min,8.1/10,97%,87/100,87,8.1,621232,tt0073195,265859065,7061513,409,High,6,53.6,303.363,39966450.9,tt0073195
Trading Places,1983,R,8-Jun-83,116 min,7.5/10,88%,69/100,69,7.5,157301,tt0086465,90404800,7348200,1375,Medium,6,99.5,303.363,22403738.66,tt0086465
Superman,1978,PG,15-Dec-78,143 min,7.4/10,93%,82/100,82,7.4,179943,tt0078346,134478449,7465343,508,High,12,67.7,303.363,33452124.79,tt0078346
Fatal Attraction,1987,R,18-Sep-87,119 min,6.9/10,75%,67/100,67,6.9,90159,tt0093010,156645693,7602740,758,Medium,9,115,303.363,20055565.34,tt0093010
Porkys,1981,R,19-Mar-82,94 min,6.2/10,33%,40/100,40,6.2,44051,tt0084522,111289673,7623988,1148,Low,3,88.5,303.363,26133738.66,tt0084522
